airport_id,name,iso_country,iso_region,city,iata_code
42388,Aérodrome de Saint-Junien,FR,FR-NAQ,Poitiers,
42389,Montluçon-Guéret Airport,FR,FR-NAQ,"Lépaud, Creuse",MCU
42390,Limoges Airport,FR,FR-NAQ,Limoges/Bellegarde,LIG
42391,Mont-de-Marsan (BA 118) Air Base,FR,FR-NAQ,Mont-de-Marsan,
42392,Niort - Marais Poitevin Airport,FR,FR-NAQ,Niort/Souché,NIT
42393,Toulouse-Blagnac Airport,FR,FR-OCC,Toulouse/Blagnac,TLS
42394,Pau Pyrénées Airport,FR,FR-NAQ,Pau/Pyrénées (Uzein),PUF
42395,Aérodrome de Muret - Lherm,FR,FR-OCC,Muret/Lherm,
42396,Biscarrosse Parentis Airfield,FR,FR-NAQ,Muret,
42397,Tarbes-Lourdes-Pyrénées Airport,FR,FR-OCC,Tarbes/Lourdes/Pyrénées,LDE
42398,Angoulême-Brie-Champniers Airport,FR,FR-NAQ,Angoulême/Brie/Champniers,ANG
42400,Périgueux-Bassillac Airport,FR,FR-NAQ,Périgueux/Bassillac,PGX
42401,Dax Seyresse Airfield,FR,FR-NAQ,Perigueux,
42402,Biarritz-Anglet-Bayonne Airport,FR,FR-NAQ,Biarritz/Anglet/Bayonne,BIQ
42405,Aérodrome de Cahors-Lalbenque,FR,FR-OCC,Cahors/Lalbenque,ZAO
42406,Aérodrome d'Andernos,FR,FR-NAQ,Andernos-les-Bains,
42407,Guéret Saint-Laurent Airfield,FR,FR-NAQ,"Saint-Laurent, Creuse",
42409,Aérodrome de Saint-Girons - Antichan,FR,FR-OCC,Saint-Girons/Antichan,
42410,Aérodrome d'Arcachon-La Teste-de-Buch,FR,FR-NAQ,Arcachon/La Teste-de-Buch,
42411,Albi-Le Séquestre Airport,FR,FR-OCC,Albi/Le Séquestre,LBI
42412,Aérodrome de Jonzac Neulles,FR,FR-NAQ,Albi,
42413,Castres-Mazamet Airport,FR,FR-OCC,Castres/Mazamet,DCM
42414,Toulouse-Lasbordes Airfield,FR,FR-OCC,"Balma, Haute-Garonne",
42415,Millau-Larzac Airfield,FR,FR-OCC,Millau/Larzac,
42419,Aérodrome de Graulhet-Montdragon,FR,FR-OCC,Graulhet/Montdragon,
42420,Rodez–Aveyron Airport,FR,FR-OCC,Rodez/Marcillac,RDZ
42421,Aérodrome de Bordeaux-Léognan-Saucats,FR,FR-NAQ,Bordeaux-Saucats,
42422,Aérodrome de Thouars,FR,FR-NAQ,Thouars,
42423,Ussel-Thalamy Airfield,FR,FR-NAQ,"Ussel, Corrèze",
42424,Aérodrome de Villefranche de Rouergue,FR,FR-OCC,Rodez,
42425,Villeneuve-sur-Lot Airfield,FR,FR-NAQ,Villeneuve-sur-Lot,
42426,Aérodrome de Castelsarrasin Moissac,FR,FR-OCC,Rodez,
42427,Royan-Médis Airport,FR,FR-NAQ,Royan/Médis,RYN
42428,Aérodrome de Mimizan,FR,FR-NAQ,Mimizan,
42429,Aire-sur-l'Adour Airfield,FR,FR-NAQ,Aire-sur-Adour,
42430,Aérodrome Morin - Védrines,FR,FR-OCC,Montauban,
42434,Aérodrome de Gaillac - Lisle-sur-Tarn,FR,FR-OCC,Gaillac,
42435,Auch-Lamothe Airfield,FR,FR-OCC,Auch/Lamothe,
42436,Libourne-Artigues-de-Lussac Airfield,FR,FR-NAQ,Libourne/Artigues-de-Lussac,
42437,Aérodrome de Pamiers - Les Pujols,FR,FR-OCC,Pamiers/Les Pujols,
42438,Soulac Sur Mer Airfield,FR,FR-NAQ,Pamiers,
42439,Loudun Airfield,FR,FR-NAQ,Pamiers,
42440,Marmande – Virazeil Airfield,FR,FR-NAQ,Marmande,
42441,Rochefort-Saint-Agnant (BA 721) Airport,FR,FR-NAQ,Rochefort/Saint-Agnant,RCO
42447,Aérodrome de Tarbes Laloubère,FR,FR-OCC,Tarbes,
42451,Fumel Montayral Airfield,FR,FR-NAQ,Rochefort,
42453,Condat sur Vézère,FR,FR-NAQ,Condat sur Vézère,
42454,Aérodrome de Belle Île,FR,FR-BRE,Bangor,BIC
42455,Dinan - Trélivan Airfield,FR,FR-BRE,Dinan,
42456,Ouessant Airport,FR,FR-BRE,Ushant,OUI
42457,Pontivy Airfield,FR,FR-BRE,Pontivy,
42458,Amboise Dierre Airfield,FR,FR-CVL,Amboise,
42459,Argenton-sur-Creuse Airfield,FR,FR-CVL,"Le Pêchereau, Indre",
42460,Aubigny-sur-Nère Airfield,FR,FR-CVL,Aubigny-sur-Nère,
